House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
13,Mann Islands,Darren,Barrett,32,Husband,Married,Male,Podiatrist,None,None
13,Mann Islands,Russell,Barrett,10,Son,NA,Male,Student,None,NA
14,Mann Islands,Louise,Allen,29,Head,Single,Female,Commercial/residential surveyor,None,None
14,Mann Islands,Darren,Allen,1,Son,NA,Male,Child,None,NA
15,Mann Islands,Alison,Frost,29,Head,Married,Female,International aid/development worker,None,None
15,Mann Islands,Denis,Frost,31,Husband,Married,Male,"Teacher, special educational needs",Physical Disability,None
16,Mann Islands,Pamela,Powell,23,Head,Single,Female,"Engineer, manufacturing",None,Christian
17,Mann Islands,Clare,Barker,24,Head,Single,Female,Geochemist,None,Christian
17,Mann Islands,Oliver,Smith,22,Partner,Single,Male,University Student,None,Christian
18,Mann Islands,Barbara,Richardson,66,Head,Married,Female,Sales executive,None,Christian
18,Mann Islands,Gareth,Richardson,67,Husband,Married,Male,Police officer,None,Christian
19,Mann Islands,Stanley,Daly,51,Head,Single,Male,Paediatric nurse,None,Catholic
20,Mann Islands,Stephanie,Page,35,Head,Single,Female,Herpetologist,None,None
21,Mann Islands,Howard,Campbell,70,Head,Divorced,Male,Retired Conference centre manager,None,Christian
22,Mann Islands,Jonathan,Morris,51,Head,Single,Male,Adult nurse,None,Christian
23,Mann Islands,Neil,Barker,26,Head,Divorced,Male,Corporate treasurer,None,Christian
24,Mann Islands,Kimberley,Hughes,39,Head,Widowed,Female,Community arts worker,None,None
24,Mann Islands,Colin,Hughes,8,Son,NA,Male,Student,None,NA
24,Mann Islands,Jane,Hughes,5,Daughter,NA,Female,Student,None,NA
25,Mann Islands,Ronald,Morley,24,Head,Divorced,Male,Leisure centre manager,None,Catholic
26,Mann Islands,Norman,Williamson,45,Head,Divorced,Male,Counselling psychologist,None,Christian
27,Mann Islands,Raymond,Little,32,Head,Single,Male,Social worker,None,None
27,Mann Islands,Anna,Cox,27,Partner,Single,Female,Psychiatrist,None,None
1,Bletchleybind Avenue,Rachel,Mason,55,Head,Married,Female,Civil Service fast streamer,None,Christian
1,Bletchleybind Avenue,Dylan,Mason,53,Husband,Married,Male,Petroleum engineer,None,None
1,Bletchleybind Avenue,Leanne,Mason,23,Daughter,Single,Female,"Therapist, drama",None,Christian
2,Bletchleybind Avenue,Mary,Smith,25,Head,Married,Female,IT consultant,None,Christian
2,Bletchleybind Avenue,Elliott,Smith,30,Husband,Married,Male,Chartered loss adjuster,None,Christian
3,Bletchleybind Avenue,Alexander,White,34,Head,Divorced,Male,Financial controller,None,None
4,Bletchleybind Avenue,Matthew,Doherty,22,Head,Single,Male,University Student,None,Christian
4,Bletchleybind Avenue,Dean,King,20,None,Single,Male,University Student,None,Christian
5,Bletchleybind Avenue,Rebecca,Hall,28,Head,Divorced,Female,Advice worker,None,None
5,Bletchleybind Avenue,Katherine,Hall,4,Daughter,NA,Female,Child,None,NA
5,Bletchleybind Avenue,Emma,Hall,1,Daughter,NA,Female,Child,None,NA
6,Bletchleybind Avenue,Gary,Martin,52,Head,Divorced,Male,Farm manager,None,Christian
7,Bletchleybind Avenue,Geraldine,Phillips,76,Head,Widowed,Female,Retired Commissioning editor,None,Methodist
8,Bletchleybind Avenue,Mohammad,Graham,67,Head,Divorced,Male,Nutritional therapist,None,None
9,Bletchleybind Avenue,Francesca,Johnson,26,Head,Married,Female,"Teacher, secondary school",None,Catholic
9,Bletchleybind Avenue,Brian,Johnson,30,Husband,Married,Male,Chief Technology Officer,None,Catholic
10,Bletchleybind Avenue,Amelia,Taylor,42,Head,Married,Female,Careers information officer,None,Christian
10,Bletchleybind Avenue,Christian,Taylor,47,Husband,Married,Male,"Designer, textile",None,Christian
11,Bletchleybind Avenue,David,May,87,Head,Widowed,Male,Retired Civil Service fast streamer,None,Christian
12,Bletchleybind Avenue,Arthur,Lewis,46,Head,Single,Male,Unemployed,None,None
13,Bletchleybind Avenue,Kevin,Roberts,30,Head,Divorced,Male,Advertising account executive,None,Muslim
1,Godfrey Dale,Stanley,Thomas,22,Head,Divorced,Male,University Student,None,None
2,Godfrey Dale,Katy,Murphy,47,Head,Divorced,Female,Astronomer,None,Catholic
3,Godfrey Dale,Julia, ,43,Head,Married,Female,Insurance account manager,None,None
3,Godfrey Dale,Nigel,Ali,46,Husband,Married,Male,Magazine features editor,None,None
3,Godfrey Dale,Anthony,Ali,0,Son,NA,Male,Child,None,NA
4,Godfrey Dale,Mary,Griffiths,86,Head,Widowed,Female,Retired Musician,None,None
5,Godfrey Dale,Susan,Thompson,42,Head,Single,Female,Careers adviser,None,Catholic
5,Godfrey Dale,Kenneth,Thompson,10,Son,NA,Male,Student,None,NA
6,Godfrey Dale,Elizabeth,Jennings,34,Head,Married,Female,IT technical support officer,None,None
6,Godfrey Dale,John,Jennings,31,Husband,Married,Male,"Journalist, newspaper",None,None
6,Godfrey Dale,Guy,Jennings,10,Son,NA,Male,Student,None,NA
7,Godfrey Dale,Anna,Shepherd,29,Head,Married,Female,Financial adviser,None,Methodist
7,Godfrey Dale,Keith,Shepherd,30,Husband,Married,Male,"Exhibitions officer, museum/gallery",None,Methodist
8,Godfrey Dale,Joe,Arnold,77,Head,Divorced,Male,Retired Firefighter,None,None
9,Godfrey Dale,Emma,Knight,24,Head,Married,Female,Unemployed,None,None
9,Godfrey Dale,Julian,Knight,26,Husband,Married,Male,"Programmer, applications",None,None
10,Godfrey Dale,Paul,Hammond,40,Head,Married,Male,Garment/textile technologist,None,Catholic
10,Godfrey Dale,Kathleen,Hammond,38,Wife,Married,Female,Police officer,None,None
11,Godfrey Dale,Emily,Holmes,76,Head,Widowed,Female,Retired Software engineer,None,Christian
12,Godfrey Dale,Lynn,Adams,73,Head,Widowed,Female,"Retired Engineer, structural",None,Christian
13,Godfrey Dale,Jade,Turner,37,Head,Single,Female,"Administrator, Civil Service",None,Catholic
14,Godfrey Dale,Jeremy,Robinson,72,Head,Single,Male,"Retired Nurse, mental health",None,Methodist
14,Godfrey Dale,Michelle,Robinson,48,Daughter,Single,Female,Press sub,None,Methodist
15,Godfrey Dale,Darren,Bradley,19,Head,Single,Male,University Student,None,None
16,Godfrey Dale,Jacqueline,Hopkins,77,Head,Widowed,Female,"Retired Secretary, company",None,Christian
17,Godfrey Dale,Andrew,Wright,20,Head,Married,Male,University Student,None,Catholic
17,Godfrey Dale,Jessica,Wright,23,Wife,Married,Female,Multimedia programmer,None,Catholic
18,Godfrey Dale,Hayley,Horton,65,Head,Married,Female,"Engineer, water",None,Christian
18,Godfrey Dale,Terence,Horton,63,Husband,Married,Male,Recycling officer,None,None
19,Godfrey Dale,Debra,Mason,73,Head,Widowed,Female,Retired Corporate treasurer,None,Christian
20,Godfrey Dale,Bethan,Fletcher,30,Head,Single,Female,Wellsite geologist,None,Muslim
21,Godfrey Dale,Joseph,Cox,64,Head,Divorced,Male,Unemployed,None,Christian
22,Godfrey Dale,Kieran,Jackson,27,Head,Single,Male,Probation officer,None,None
23,Godfrey Dale,Pauline,Singh,42,Head,Widowed,Female,Plant breeder/geneticist,None,Christian
24,Godfrey Dale,Glenn,Thompson,59,Head,Single,Male,Unemployed,None,Christian
25,Godfrey Dale,Jack,Wright,60,Head,Divorced,Male,Event organiser,None,Methodist
26,Godfrey Dale,Amber,Taylor,39,Head,Married,Female,Human resources officer,None,Catholic
26,Godfrey Dale,Justin,Taylor,41,Husband,Married,Male,Barrister,None,None
26,Godfrey Dale,Leonard,Taylor,14,Son,NA,Male,Student,None,NA
27,Godfrey Dale,Jenna,Williams,62,Head,Single,Female,Personal assistant,None,None
28,Godfrey Dale,Melissa,Archer,43,Head,Married,Female,Product designer,None,Catholic
28,Godfrey Dale,Douglas,Archer,41,Husband,Married,Male,Illustrator,None,None
28,Godfrey Dale,Ross,Archer,21,Son,Single,Male,University Student,None,Catholic
29,Godfrey Dale,Hannah,McLean,80,Head,Married,Female,Retired Control and instrumentation engineer,None,Christian
29,Godfrey Dale,Stanley,McLean,82,Husband,Married,Male,Retired Lobbyist,None,Christian
30,Godfrey Dale,Bruce,Spencer,91,Head,Widowed,Male,"Retired Engineer, agricultural",None,Christian
31,Godfrey Dale,Samantha,Macdonald,26,Head,Married,Female,"Social research officer, government",None,None
31,Godfrey Dale,Hugh,Macdonald,28,Husband,Married,Male,"Education officer, museum",None,None
32,Godfrey Dale,Frances,Morley,61,Head,Single,Female,Building services engineer,None,Christian
33,Godfrey Dale,Brian,Price,53,Head,Single,Male,"Psychologist, counselling",None,Christian
34,Godfrey Dale,Marian,Brooks,35,Head,Married,Female,Paediatric nurse,None,None
34,Godfrey Dale,Vincent,Brooks,37,Husband,Married,Male,Financial trader,None,None
34,Godfrey Dale,Frances,Brooks,2,Daughter,NA,Female,Child,None,NA
34,Godfrey Dale,Ian,Brooks,1,Son,NA,Male,Child,None,NA
35,Godfrey Dale,Graeme,Rogers,44,Head,Married,Male,Speech and language therapist,None,Christian
35,Godfrey Dale,Gail,Rogers,41,Wife,Married,Female,"Nurse, adult",None,None
36,Godfrey Dale,Jordan,Lucas,38,Head,Single,Male,Theatre director,Unknown Infection,Catholic
37,Godfrey Dale,Rebecca,Dunn,37,Head,Single,Female,Unemployed,None,Quaker
38,Godfrey Dale,Jean,Richardson,21,Head,Single,Female,Broadcast presenter,None,Christian
38,Godfrey Dale,John,Williams,24,Partner,Single,Male,"Designer, multimedia",None,None
39,Godfrey Dale,Vanessa,Jackson,46,Head,Married,Female,"Education officer, environmental",None,Christian
39,Godfrey Dale,Stephen,Jackson,47,Husband,Married,Male,Medical illustrator,None,Christian
39,Godfrey Dale,Grace,Jackson,17,Daughter,NA,Female,Student,None,NA
40,Godfrey Dale,Judith,Bennett,55,Head,Married,Female,Music tutor,None,Christian
40,Godfrey Dale,Douglas,Bennett,59,Husband,Married,Male,Building control surveyor,None,Christian
40,Godfrey Dale,George,Bennett,28,Son,Single,Male,Personal assistant,None,Christian
41,Godfrey Dale,Jenna,Coles,65,Head,Widowed,Female,Operational investment banker,None,Christian
42,Godfrey Dale,Sophie,Hughes,78,Head,Divorced,Female,"Retired Geneticist, molecular",None,None
43,Godfrey Dale,Chloe,Hawkins,31,Head,Married,Female,Mudlogger,None,Muslim
43,Godfrey Dale,Nathan,Hawkins,29,Husband,Married,Male,Herpetologist,None,Muslim
43,Godfrey Dale,Gavin,Hawkins,11,Son,NA,Male,Student,None,NA
44,Godfrey Dale,Anna,Day,61,Head,Single,Female,English as a foreign language teacher,None,Methodist
45,Godfrey Dale,Kayleigh,Lee,37,Head,Divorced,Female,Sports therapist,None,None
46,Godfrey Dale,Jasmine,Wright,62,Head,Single,Female,"Engineer, manufacturing systems",None,Christian
46,Godfrey Dale,Ben,Wright,34,Son,Divorced,Male,Academic librarian,None,Christian
47,Godfrey Dale,Marion,Cooke,33,Head,Widowed,Female,"Librarian, academic",None,None
47,Godfrey Dale,Gregory,Bond,18,Lodger,Single,Male,Student,None,NA
48,Godfrey Dale,Louis,James,24,Head,Married,Male,"Engineer, petroleum",None,None
48,Godfrey Dale,Lynne,James,20,Wife,Married,Female,University Student,None,None
49,Godfrey Dale,Joel,Davidson,25,Head,Single,Male,Visual merchandiser,None,None
50,Godfrey Dale,Edward,Hartley,84,Head,Single,Male,Retired Herpetologist,None,None
51,Godfrey Dale,Elliott,Henderson,24,Head,Widowed,Male,Data processing manager,None,Catholic
52,Godfrey Dale,Anna,George,60,Head,Widowed,Female,Unemployed,None,Christian
53,Godfrey Dale,Allan,Wells,75,Head,Divorced,Male,Retired Musician,None,None
54,Godfrey Dale,Marian,Parker,75,Head,Widowed,Female,"Retired Geologist, wellsite",None,None
55,Godfrey Dale,Sally,Little,52,Head,Married,Female,Diagnostic radiographer,None,None
55,Godfrey Dale,Dean,Little,55,Husband,Married,Male,Travel agency manager,None,None
55,Godfrey Dale,Marion,Little,17,Daughter,NA,Female,Student,None,NA
56,Godfrey Dale,Jamie,Hudson,22,Head,Single,Male,University Student,None,Catholic
57,Godfrey Dale,Melanie,Fraser,22,Head,Married,Female,University Student,None,Catholic
57,Godfrey Dale,Eric,Fraser,29,Husband,Married,Male,Illustrator,None,None
58,Godfrey Dale,Natalie,Jones,54,Head,Divorced,Female,Photographer,None,Christian
59,Godfrey Dale,Helen,Parry,77,Head,Widowed,Female,Retired Haematologist,None,None
60,Godfrey Dale,Bethany,Thomas,77,Head,Widowed,Female,"Retired Journalist, magazine",None,Christian
61,Godfrey Dale,Anna,Hill,48,Head,Single,Female,"Administrator, charities/voluntary organisations",None,Christian
62,Godfrey Dale,Jemma,Shepherd,61,Head,Single,Female,Prison officer,None,None
63,Godfrey Dale,Emily,Austin,48,Head,Single,Female,Charity fundraiser,None,None
63,Godfrey Dale,Karl,Austin,17,Son,NA,Male,Student,None,NA
64,Godfrey Dale,Leonard,Fraser,47,Head,Single,Male,"Engineer, chemical",None,None
65,Godfrey Dale,Danielle,Cox,53,Head,Single,Female,Merchant navy officer,None,None
65,Godfrey Dale,Frank,Thomas,57,Partner,Single,Male,Theatre director,None,None
66,Godfrey Dale,Kirsty,Marshall,38,Head,Married,Female,Dramatherapist,None,Christian
66,Godfrey Dale,Tom,Marshall,40,Husband,Married,Male,Investment analyst,None,Christian
66,Godfrey Dale,Elliot,Marshall,9,Son,NA,Male,Student,None,NA
67,Godfrey Dale,Lucy,Day,72,Head,Widowed,Female,Retired Psychiatrist,None,Christian
68,Godfrey Dale,Gareth,George,63,Head,Single,Male,Animator,None,Agnostic
68,Godfrey Dale,Katy,Kemp,33,None,Single,Female,Gaffer,None,None
69,Godfrey Dale,Damian,Riley,75,Head,Single,Male,Retired Horticultural therapist,None,None
70,Godfrey Dale,Sean,Jones,52,Head,Single,Male,"Engineer, communications",None,Christian
71,Godfrey Dale,Hayley,Clarke,53,Head,Single,Female,Diplomatic Services operational officer,None,None
71,Godfrey Dale,Samuel,Barker,27,None,Single,Male,"Production assistant, television",None,Catholic
71,Godfrey Dale,Lisa,Clark,39,None,Single,Female,Contracting civil engineer,None,Christian
71,Godfrey Dale,Leigh,Reynolds,25,None,Single,Male,Health and safety adviser,None,None
72,Godfrey Dale,Scott,Hancock,55,Head,Single,Male,"Geologist, engineering",None,Catholic
73,Godfrey Dale,Catherine,Nicholls,64,Head,Single,Female,Public affairs consultant,None,Christian
74,Godfrey Dale,Kenneth,Kirk,73,Head,Divorced,Male,"Retired Surveyor, commercial/residential",None,None
75,Godfrey Dale,Karen,Hurst,41,Head,Widowed,Female,"Production assistant, television",None,None
76,Godfrey Dale,Emma,Dean,18,Head,Single,Female,Student,None,NA
77,Godfrey Dale,Claire,Gallagher,36,Head,Single,Female,"Programmer, applications",None,None
78,Godfrey Dale,Rachael,Skinner,48,Head,Divorced,Female,IT consultant,None,Catholic
79,Godfrey Dale,Kim,Griffiths,38,Head,Single,Female,Unemployed,None,Muslim
79,Godfrey Dale,Carol,Clark,55,Lodger,Single,Female,"Engineer, drilling",None,Catholic
80,Godfrey Dale,Brenda,Owen,82,Head,Single,Female,Retired Ecologist,None,Christian
81,Godfrey Dale,Abdul,Peters,34,Head,Widowed,Male,Solicitor,None,Methodist
82,Godfrey Dale,Martin,Morgan,43,Head,Single,Male,Forest/woodland manager,None,None
82,Godfrey Dale,Ann,Ball,42,Partner,Single,Female,"Scientist, research (maths)",None,None
83,Godfrey Dale,Margaret,Martin,68,Head,Divorced,Female,Retired Occupational therapist,None,Christian
84,Godfrey Dale,Frances,Fowler,32,Head,Married,Female,"Doctor, general practice",None,None
84,Godfrey Dale,Carl,Fowler,36,Husband,Married,Male,Unemployed,None,None
84,Godfrey Dale,Garry,Fowler,7,Son,NA,Male,Student,None,NA
85,Godfrey Dale,Marie,Williams,58,Head,Single,Female,Local government officer,None,None
86,Godfrey Dale,Lucy,Jones,18,Head,Single,Female,Student,None,NA
87,Godfrey Dale,Iain,Lawrence,49,Head,Single,Male,Commissioning editor,None,Christian
88,Godfrey Dale,Hilary,Byrne,69,Head,Married,Female,"Retired Producer, television/film/video",None,Christian
88,Godfrey Dale,Billy,Byrne,70,Husband,Married,Male,Retired Proofreader,None,Christian
89,Godfrey Dale,Alexander,Cameron,67,Head,Married,Male,"Horticulturist, amenity",None,None
89,Godfrey Dale,Carly,Cameron,57,Wife,Married,Female,Air traffic controller,None,None
90,Godfrey Dale,Roy,Booth,20,Head,Divorced,Male,University Student,None,None
91,Godfrey Dale,Alison,Baker,44,Head,Widowed,Female,Water quality scientist,None,None
92,Godfrey Dale,William,Stewart,63,Head,Divorced,Male,Unemployed,None,Christian
93,Godfrey Dale,Hazel,Martin,36,Head,Married,Female,Unemployed,None,None
93,Godfrey Dale,Wayne,Martin,41,Husband,Married,Male,Health and safety inspector,None,None
94,Godfrey Dale,Victoria,Bennett,41,Head,Divorced,Female,Advertising art director,None,Catholic
94,Godfrey Dale,Joanne,Bennett,10,Daughter,NA,Female,Student,None,NA
95,Godfrey Dale,Sally,Shaw,37,Head,Single,Female,Early years teacher,None,Christian
96,Godfrey Dale,Ricky,Jackson,45,Head,Single,Male,Operational researcher,None,None
96,Godfrey Dale,Barbara,Arnold,43,Partner,Single,Female,"Scientist, physiological",None,None
97,Godfrey Dale,Joe,Knight,28,Head,Divorced,Male,Financial manager,None,Muslim
98,Godfrey Dale,Mary,Bryant,92,Head,Married,Female,Retired Teaching laboratory technician,None,None
98,Godfrey Dale,Clive,Bryant,95,Husband,Married,Male,Retired Legal secretary,None,None
99,Godfrey Dale,Bernard,Taylor,18,Head,Single,Male,Student,None,NA
100,Godfrey Dale,Lydia,Coates,69,Head,Widowed,Female,Unemployed,None,Christian
100,Godfrey Dale,Judith,Coates,31,Daughter,Single,Female,Clothing/textile technologist,None,Christian
100,Godfrey Dale,Raymond,Coates,29,Son,Single,Male,Games developer, ,None
101,Godfrey Dale,Grace,Roberts,37,Head,Single,Female,Counsellor,None,Christian
102,Godfrey Dale,Geoffrey,Holden,70,Head,Single,Male,Retired Retail banker,None,Christian
103,Godfrey Dale,Geoffrey,Johnson,71,Head,Widowed,Male,Retired Occupational psychologist,None,Christian
104,Godfrey Dale,Leigh,Williams,30,Head,Divorced,Male,Chief Operating Officer,None,Nope
105,Godfrey Dale,Eileen,Ahmed,22,Head,Single,Female,University Student,None,Christian
105,Godfrey Dale,Beverley,Cooper,38,None,Single,Female,"Radiographer, therapeutic",None,None
106,Godfrey Dale,Paige,Clements,32,Head,Single,Female,Trade mark attorney,None,None
107,Godfrey Dale,James,Thomas,50,Head,Single,Male,Ophthalmologist,None,None
108,Godfrey Dale,Connor,Elliott,20,Head,Single,Male,University Student,None,Christian
109,Godfrey Dale,Marilyn,Thornton,83,Head,Widowed,Female,Retired Freight forwarder,None,Christian
110,Godfrey Dale,Hayley,Morris,64,Head,Divorced,Female,Town planner,None,Christian
110,Godfrey Dale,Shannon,Morris,29,Daughter,Single,Female,Control and instrumentation engineer,None,Christian
111,Godfrey Dale,Mathew,Coleman,24,Head,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",None,None
112,Godfrey Dale,John,Bishop,36,Head,Single,Male,"Administrator, local government",None,None
113,Godfrey Dale,Billy,Walker,29,Head,Single,Male,Microbiologist,None,Methodist
114,Godfrey Dale,Kimberley,Jackson,59,Head,Married,Female,Ambulance person,None,Christian
114,Godfrey Dale,Benjamin,Jackson,61,Husband,Married,Male,Leisure centre manager,None,None
115,Godfrey Dale,Mary,Chapman,76,Head,Widowed,Female,Retired Homeopath,None,Christian
115,Godfrey Dale,Benjamin,Chapman,17,Grandson,NA,Male,Student,None,NA
116,Godfrey Dale,Geraldine,Matthews,35,Head,Single,Female,"Doctor, hospital",None,Catholic
116,Godfrey Dale,Stuart,Shaw,8,Nephew,NA,Male,Student,None,NA
117,Godfrey Dale,Geraldine,Brown,53,Head,Single,Female,"Scientist, forensic",None,Methodist
118,Godfrey Dale,Danny,Hayes,46,Head,Married,Male,Cartographer,None,None
118,Godfrey Dale,Olivia,Hayes,48,Wife,Married,Female,Occupational hygienist,None,None
119,Godfrey Dale,Caroline,Cooper,35,Head,Single,Female,Unemployed,None,Catholic
120,Godfrey Dale,Jenna,Booth,58,Head,Single,Female,"Education officer, community",None,Christian
120,Godfrey Dale,Stuart,Booth,15,Grandson,NA,Male,Student,None,NA
121,Godfrey Dale,Victoria,Hamilton,60,Head,Single,Female,Tax adviser,None,Christian
122,Godfrey Dale,Kirsty,Holmes,49,Head,Married,Female,Commercial art gallery manager,None,Christian
122,Godfrey Dale,Brian,Holmes,51,Husband,Married,Male,Newspaper journalist,None,None
122,Godfrey Dale,Anthony,Holmes,21,Son,Divorced,Male,University Student,None,Christian
123,Godfrey Dale,Ricky,Connor,86,Head,Divorced,Male,Retired Theatre manager,None,None
124,Godfrey Dale,Megan,Lambert,71,Head,Married,Female,Retired Trade mark attorney,None,Catholic
124,Godfrey Dale,Eric,Lambert,70,Husband,Married,Male,Retired Logistics and distribution manager,None,None
124,Godfrey Dale,Julie,Lambert,41,Daughter,Single,Female,Claims inspector/assessor,None,None
125,Godfrey Dale,Gail,Davies,44,Head,Married,Female,Product manager,None,None
125,Godfrey Dale,Marcus,Davies,46,Husband,Married,Male,"Horticulturist, amenity",None,None
125,Godfrey Dale,Angela,Davies,10,Daughter,NA,Female,Student,None,NA
126,Godfrey Dale,Leah,Young,76,Head,Widowed,Female,Retired Merchant navy officer,None,Christian
126,Godfrey Dale,Patrick,Miah,16,Grandson,NA,Male,Student,None,NA
127,Godfrey Dale,Lynne,Jones,43,Head,Divorced,Female,"Conservation officer, historic buildings",None,Catholic
127,Godfrey Dale,Abdul,Hobbs,10,Nephew,NA,Male,Student,None,NA
128,Godfrey Dale,Hayley,Reid,62,Head,Single,Female,Insurance account manager,None,None
128,Godfrey Dale,Vincent,John,56,None,Single,Male,Video editor,None,Catholic
129,Godfrey Dale,Tracy,Lee,39,Head,Married,Female,Ergonomist,None,Catholic
129,Godfrey Dale,Mohammad,Lee,40,Husband,Married,Male,Translator,None,Catholic
130,Godfrey Dale,Teresa,Houghton,44,Head,Married,Female,Astronomer,None,Christian
130,Godfrey Dale,Colin,Houghton,46,Husband,Married,Male,Health visitor,None,Christian
130,Godfrey Dale,Anthony,Houghton,13,Son,NA,Male,Student,None,NA
131,Godfrey Dale,Anna,Lewis,45,Head,Married,Female,Retail merchandiser,None,None
131,Godfrey Dale,Frank,Lewis,46,Husband,Married,Male,"Civil engineer, consulting",None,None
131,Godfrey Dale,Sally,Lewis,14,Daughter,NA,Female,Student,None,NA
132,Godfrey Dale,Michelle,Lees,28,Head,Married,Female,Immigration officer,None,None
132,Godfrey Dale,Roy,Lees,29,Husband,Married,Male,"Engineer, electrical",None,Christian
132,Godfrey Dale,Melissa,Lees,4,Daughter,NA,Female,Child,None,NA
133,Godfrey Dale,Douglas,Gardner,70,Head,Widowed,Male,Retired Music tutor,None,Christian
134,Godfrey Dale,Eric,Hughes,57,Head,Divorced,Male,IT trainer,None,Methodist
135,Godfrey Dale,Victoria,Lynch,71,Head,Divorced,Female,Retired Bonds trader,None,None
136,Godfrey Dale,Shaun,Matthews,49,Head,Single,Male,Illustrator,None,Christian
137,Godfrey Dale,Angela,Scott,44,Head,Single,Female,"Nurse, learning disability",None,Christian
137,Godfrey Dale,Adrian,Walker,44,Partner,Single,Male,Radio broadcast assistant,None,None
138,Godfrey Dale,Bryan,Carter,36,Head,Single,Male,"Accountant, chartered",None,Catholic
139,Godfrey Dale,Mohammed,Gibbs,52,Head,Single,Male,Unemployed,None,Christian
140,Godfrey Dale,Sian,Thompson,44,Head,Single,Female,Speech and language therapist,None,None
141,Godfrey Dale,Hollie,Allen,65,Head,Widowed,Female,Aeronautical engineer,None,Christian
142,Godfrey Dale,Georgina,Taylor,35,Head,Single,Female,"Scientist, research (medical)",None,None
142,Godfrey Dale,Frederick,Carter,62,None,Single,Male,Travel agency manager,None,Christian
143,Godfrey Dale,Laura,Reid,51,Head,Divorced,Female,"Research officer, government",None,None
144,Godfrey Dale,Heather,Lucas,52,Head,Single,Female,Secretary/administrator,None,Christian
144,Godfrey Dale,Bradley,Smith,54,Partner,Single,Male,"Programme researcher, broadcasting/film/video",None,Christian
144,Godfrey Dale,Craig,Lucas,21,Son,Divorced,Male,University Student,None,Christian
144,Godfrey Dale,Mathew,Lucas,1,Son,NA,Male,Child,None,NA
145,Godfrey Dale,Deborah,Collier,81,Head,Widowed,Female,"Retired Producer, radio",None,Christian
146,Godfrey Dale,Jade,Sanderson,65,Head,Widowed,Female,Unemployed,None,Catholic
146,Godfrey Dale,Kayleigh,Sanderson,36,Adopted Daughter,Single,Female,Teaching laboratory technician,None,Catholic
146,Godfrey Dale,Liam,Sanderson,32,Son,Divorced,Male,Building control surveyor,None,Catholic
147,Godfrey Dale,Jasmine,Baxter,39,Head,Single,Female,Unemployed,None,None
147,Godfrey Dale,Ann,Baxter,7,Daughter,NA,Female,Student,None,NA
148,Godfrey Dale,Hayley,Poole,22,Head,Single,Female,University Student,None,Muslim
149,Godfrey Dale,George,Bell,68,Head,Widowed,Male,Retired Chief Operating Officer,None,Methodist
150,Godfrey Dale,Margaret,Mitchell,66,Head,Single,Female,Community education officer,None,Christian
151,Godfrey Dale,Clare,Jones,70,Head,Widowed,Female,Retired Water quality scientist,None,Catholic
152,Godfrey Dale,Lynne,Fitzgerald,81,Head,Married,Female,"Retired Education officer, environmental",None,Methodist
152,Godfrey Dale,Max,Fitzgerald,80,Husband,Married,Male,Retired Charity fundraiser,None,Methodist
152,Godfrey Dale,Marie,Fitzgerald,4,Granddaughter,NA,Female,Child,None,NA
153,Godfrey Dale,Anne,Lee,36,Head,Divorced,Female,"Engineer, production",None,Methodist
154,Godfrey Dale,Victor,Glover,56,Head,Married,Male,Magazine features editor,None,Christian
154,Godfrey Dale,Kayleigh,Glover,50,Wife,Married,Female,"Engineer, production",None,None
155,Godfrey Dale,Shaun,Barker,67,Head,Widowed,Male,Textile designer,None,Methodist
156,Godfrey Dale,Owen,Begum,24,Head,Single,Male,Civil Service administrator,None,Christian
157,Godfrey Dale,Lydia,Kelly,40,Head,Single,Female,Animal technologist,None,Catholic
157,Godfrey Dale,Jenna,Kelly,5,Daughter,NA,Female,Student,None,NA
157,Godfrey Dale,Joseph,Kelly,5,Son,NA,Male,Student,None,NA
158,Godfrey Dale,Anthony,Scott,34,Head,Divorced,Male,Museum/gallery curator,None,None
159,Godfrey Dale,Joan,Marsden,57,Head,Single,Female,Clothing/textile technologist,None,Catholic
160,Godfrey Dale,Carl,Cooper-Walker,29,Head,Single,Male,"Social research officer, government",None,None
160,Godfrey Dale,Trevor,Cooper-Walker,7,Son,NA,Male,Student,None,NA
161,Godfrey Dale,Josephine,Kemp,41,Head,Married,Female,Financial planner,None,None
161,Godfrey Dale,Stephen,Kemp,43,Husband,Married,Male,Biomedical scientist,None,None
162,Godfrey Dale,Amanda,Price,60,Head,Single,Female,Banker,None,None
162,Godfrey Dale,Hayley,Price,15,Daughter,NA,Female,Student,None,NA
163,Godfrey Dale,Alexander,James,44,Head,Single,Male,Medical illustrator,None,None
164,Godfrey Dale,Maureen,Pearce,30,Head,Married,Female,Unemployed,None,None
164,Godfrey Dale,Joshua,Pearce,32,Husband,Married,Male,Production manager,None,None
164,Godfrey Dale,Ashleigh,Pearce,2,Daughter,NA,Female,Child,None,NA
165,Godfrey Dale,Terence,Osborne,40,Head,Married,Male,"Research officer, government",None,Catholic
165,Godfrey Dale,Denise,Osborne,38,Wife,Married,Female,Clothing/textile technologist,None,Catholic
166,Godfrey Dale,Alexandra,Cox,37,Head,Single,Female,Copy,None,Methodist
166,Godfrey Dale,Clifford,Jackson,43,Partner,Single,Male,Medical laboratory scientific officer,None,Methodist
